epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.96215,0.78605,1.97238,1.02947,1,0.8556,0.99312,0.81092,0.69289,2.39098,0.868,0.000651515,0.000651515,0.000651515
2,14.6412,0.69876,1.26568,0.96262,1,0.51781,0.99487,0.84212,0.61578,2.57588,0.94425,0.00130513,0.00130513,0.00130513
3,21.2578,0.69379,1.13038,0.96244,0.99795,1,0.995,0.76807,0.73874,1.21317,1.00097,0.00194555,0.00194555,0.00194555
4,27.6658,0.71885,0.98297,0.988,0.99156,0.98667,0.99474,0.82764,0.66574,1.0979,1.02436,0.0019406,0.0019406,0.0019406
5,34.1427,0.69323,0.88173,0.97165,0.9984,1,0.995,0.83541,0.64033,0.81021,0.98433,0.0019208,0.0019208,0.0019208
6,40.5173,0.67604,0.76964,0.97521,0.99905,1,0.995,0.79682,0.73567,0.74136,1.0349,0.001901,0.001901,0.001901
7,46.9215,0.65763,0.70575,0.94804,0.99912,1,0.995,0.86957,0.55423,0.65955,0.9744,0.0018812,0.0018812,0.0018812
8,53.2502,0.64322,0.64015,0.96024,0.99953,1,0.995,0.85895,0.57737,0.56922,0.98842,0.0018614,0.0018614,0.0018614
9,59.7024,0.63898,0.60912,0.96394,0.99906,1,0.995,0.85532,0.61585,0.49402,1.0187,0.0018416,0.0018416,0.0018416
10,66.0001,0.65832,0.55212,0.97222,0.99958,1,0.995,0.85697,0.59258,0.49334,0.99569,0.0018218,0.0018218,0.0018218
11,72.5527,0.6495,0.53259,0.98441,0.99956,1,0.995,0.85549,0.5844,0.39261,1.00466,0.001802,0.001802,0.001802
12,78.9542,0.62525,0.49393,0.95125,0.99966,1,0.995,0.86995,0.55047,0.34152,0.98116,0.0017822,0.0017822,0.0017822
13,85.252,0.59108,0.45787,0.96061,0.99949,1,0.995,0.86982,0.53532,0.33931,0.9682,0.0017624,0.0017624,0.0017624
14,91.6736,0.60485,0.43384,0.95405,0.9995,1,0.995,0.85585,0.57621,0.3677,0.99718,0.0017426,0.0017426,0.0017426
15,98.2107,0.62619,0.44859,0.95397,0.99957,1,0.995,0.87028,0.55505,0.32374,0.98135,0.0017228,0.0017228,0.0017228
16,104.731,0.60002,0.43867,0.96607,0.99938,1,0.995,0.86861,0.54144,0.31366,0.96478,0.001703,0.001703,0.001703
17,111.251,0.57509,0.39209,0.94654,0.99943,1,0.995,0.85765,0.5734,0.33328,0.98496,0.0016832,0.0016832,0.0016832
18,117.666,0.59333,0.39947,0.96138,1,0.99988,0.995,0.8377,0.67798,0.37216,1.03835,0.0016634,0.0016634,0.0016634
19,124.004,0.58769,0.3888,0.94896,0.99958,1,0.995,0.86392,0.56664,0.35041,0.97137,0.0016436,0.0016436,0.0016436
20,130.485,0.60607,0.4085,0.95138,0.99958,1,0.995,0.84816,0.59441,0.34229,1.00405,0.0016238,0.0016238,0.0016238
21,136.907,0.60049,0.38934,0.95017,0.99959,1,0.995,0.87029,0.54128,0.30605,0.96446,0.001604,0.001604,0.001604
